"subjectID","NEOFFI01","NEOFFI02","NEOFFI03","NEOFFI04","NEOFFI05","NEOFFI06","NEOFFI07","NEOFFI08","NEOFFI09","NEOFFI10","NEOFFI11","NEOFFI12","NEOFFI13","NEOFFI14","NEOFFI15","NEOFFI16","NEOFFI17","NEOFFI18","NEOFFI19","NEOFFI20","NEOFFI21","NEOFFI22","NEOFFI23","NEOFFI24","NEOFFI25","NEOFFI26","NEOFFI27","NEOFFI28","NEOFFI29","NEOFFI30","NEOFFI31","NEOFFI32","NEOFFI33","NEOFFI34","NEOFFI35","NEOFFI36","NEOFFI37","NEOFFI38","NEOFFI39","NEOFFI40","NEOFFI41","NEOFFI42","NEOFFI43","NEOFFI44","NEOFFI45","NEOFFI46","NEOFFI47","NEOFFI48","NEOFFI49","NEOFFI50","NEOFFI51","NEOFFI52","NEOFFI53","NEOFFI54","NEOFFI55","NEOFFI56","NEOFFI57","NEOFFI58","NEOFFI59","NEOFFI60","NEOFFI61","NEOFFI62","NEOFFI63","NEOFFI64","NEOFFI65","NEOFFI66","PID5BF01","PID5BF02","PID5BF03","PID5BF04","PID5BF05","PID5BF06","PID5BF07","PID5BF08","PID5BF09","PID5BF10","PID5BF11","PID5BF12","PID5BF13","PID5BF14","PID5BF15","PID5BF16","PID5BF17","PID5BF18","PID5BF19","PID5BF20","PID5BF21","PID5BF22","PID5BF23","PID5BF24","PID5BF25","PID5BF26","PID5BF27","PID5BF28","PID5BF29","PID5BF30","PID5BF31","PID5BF32","PID5BF33","PID5BF34","PID5BF35","PID5BF36","NEOneuro","NEOextra","NEOoff","NEOvertr","NEOgew","PIDNegativeAffect","PIDDetachment","PIDAntagonism","PIDDisinhibition","PIDPsychoticism","PIDAnankastia","Sex","Age","Edu","Occupation"
"11LSM",3,2,2,3,3,3,2,4,3,2,2,3,3,3,3,3,2,4,3,3,2,0,3,1,3,4,1,4,3,1,4,1,2,2,3,1,2,4,2,2,1,1,3,3,0,3,2,4,3,1,1,3,4,1,3,3,1,4,3,4,3,2,2,4,1,2,1,1,1,2,1,2,3,1,1,0,2,1,3,0,1,1,0,2,1,0,1,1,1,1,3,1,1,0,1,1,0,0,1,0,2,1,34,21,41,37,30,11,3,3,6,7,8,0.5,20,"abitur","0"
"11NMP",0,4,2,4,4,0,4,4,4,4,0,4,2,4,2,4,4,2,4,4,0,2,2,4,2,0,2,4,4,4,0,1,2,4,4,0,4,4,4,4,0,4,0,4,4,0,1,2,4,4,0,4,4,4,4,0,0,4,4,3,4,3,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,32,59,43,0,0,1,0,0,0,0.5,19,"abitur","0"
"11RBH",3,1,3,3,4,1,1,3,3,2,2,3,4,4,1,2,3,3,3,4,3,1,4,3,3,1,1,2,3,1,3,1,4,3,3,2,3,4,4,3,1,3,4,3,3,2,1,4,4,3,1,2,3,3,4,2,1,3,3,4,1,3,4,2,3,4,2,1,0,2,1,2,3,0,0,0,0,3,1,1,1,0,0,3,2,0,0,1,1,3,2,1,0,1,1,0,0,0,2,1,0,1,25,24,41,47,39,10,4,3,3,3,12,0.5,21,"abitur","0"
"11SRF",1,0,4,3,3,4,3,4,4,0,4,3,4,4,3,4,1,2,4,4,3,0,4,4,2,4,1,1,1,0,2,0,4,3,2,2,3,3,3,4,4,2,4,4,4,4,2,4,4,1,4,1,4,1,2,4,1,3,3,2,0,3,3,4,1,3,2,0,0,2,2,2,3,2,2,2,2,1,3,1,2,1,2,1,1,0,1,1,1,2,2,2,3,0,1,2,3,0,3,2,2,2,44,18,41,44,30,14,5,5,11,10,10,0.5,29,"bachelor","0"
"11SRH",1,2,3,3,3,1,3,1,4,2,1,4,3,3,4,4,3,3,3,3,0,1,1,2,3,0,2,4,2,1,2,3,2,3,3,1,3,2,3,3,2,4,2,3,1,0,1,4,3,2,1,4,3,1,3,0,4,3,3,1,1,2,1,1,3,1,1,1,1,1,2,1,0,2,1,1,1,0,0,1,2,0,0,1,0,1,0,1,0,1,0,2,2,0,0,0,0,0,1,0,0,1,14,37,31,37,30,1,3,7,7,3,4,NA,NA,NA,NA
"11SSB",3,3,1,3,3,3,2,4,3,1,2,1,1,1,1,2,3,4,2,3,3,2,1,0,1,3,2,3,1,0,2,1,3,3,3,3,2,2,2,3,2,1,2,3,1,3,2,4,3,2,2,2,3,1,3,2,3,2,3,2,1,2,1,4,1,0,1,1,1,1,2,2,2,1,2,0,0,2,0,1,3,2,0,2,1,0,1,0,0,1,2,1,2,0,0,0,0,0,3,1,0,1,34,25,30,28,24,6,1,4,12,2,8,-0.5,30,"bachelor","0"
"11THJ",1,2,3,4,4,1,4,4,2,4,0,2,2,3,4,3,4,4,4,4,1,2,3,3,3,0,2,2,4,2,3,2,1,2,4,1,3,4,2,4,1,2,4,1,3,3,1,4,4,4,0,1,4,2,3,3,3,4,3,3,3,3,3,2,2,1,0,0,0,2,2,2,1,0,0,0,2,1,2,0,2,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,19,30,39,41,45,4,2,0,5,5,4,-0.5,27,"bachelor","0"
"12BCH",2,1,2,3,2,1,3,4,4,2,2,2,4,1,0,1,2,4,2,3,2,2,2,1,3,2,1,2,3,3,2,1,3,2,3,1,2,4,0,3,1,0,3,0,3,2,2,2,2,2,3,0,3,1,2,2,3,4,1,2,1,0,2,3,2,0,2,2,0,2,1,1,2,3,0,0,1,2,1,3,2,3,0,1,1,2,0,1,0,1,2,2,1,2,2,0,1,2,1,1,1,1,24,21,37,21,30,9,5,14,4,5,6,0.5,25,"abitur","1"
"12BGE",3,3,3,3,1,3,3,3,2,1,1,3,2,2,3,3,3,1,3,3,3,3,1,3,2,1,2,3,3,1,3,1,3,2,3,3,3,4,3,4,2,1,1,3,3,1,3,3,3,3,3,3,3,1,2,4,2,1,4,1,1,1,1,1,3,1,1,2,1,1,1,0,2,1,1,1,0,1,0,2,3,0,2,0,2,2,1,1,2,1,0,2,2,1,2,0,0,0,2,0,2,0,31,33,28,35,28,5,4,9,10,9,2,0.5,21,"abitur","0"
"12CMP",3,1,3,3,1,4,3,4,0,2,4,1,3,1,3,3,3,4,4,4,3,0,2,3,1,4,1,3,1,1,4,0,3,1,4,3,1,4,1,4,4,3,3,3,1,3,3,3,3,3,4,3,3,3,3,4,0,3,4,4,1,1,3,4,1,1,2,0,0,3,2,1,2,2,1,2,2,2,2,1,2,2,0,2,1,0,1,1,1,1,0,2,1,1,2,1,1,0,2,2,1,1,47,20,38,30,34,8,7,5,7,8,8,0.5,20,"abitur","0"
"12DJK",4,2,3,3,1,3,2,1,3,3,3,1,1,3,1,3,0,3,3,3,4,0,0,1,0,3,1,3,2,0,4,0,4,2,2,2,1,4,3,2,3,3,1,2,1,4,1,1,3,2,3,1,1,3,2,4,0,0,4,0,0,1,3,4,0,2,1,1,2,3,2,0,3,0,0,3,3,0,0,0,2,3,0,0,3,0,1,1,1,3,3,2,1,3,0,0,0,0,2,2,0,0,44,12,22,35,20,10,10,3,8,6,3,0.5,21,"abitur","0"
